Name,Item,Date
Merify,"1,200 Gold | Pile of Gold",8/21/22
erazer12,1x Ultra Crate Key Prison,8/21/22
MelissaPlayzz,GKit Boosters Dream,8/21/22
7rf,"2,500 Gold | Stack of Gold",8/21/22
pichuz,Warrior KitPvP,8/21/22
erazer12,5x Museum Crate Key Prison,8/21/22
Plakgast,3x Museum Crate Key Prison,8/21/22
PlayboiA7md,Design -> Creator Creative,8/21/22
Jeaniusman,"1,200 Gold | Pile of Gold",8/21/22
benjo2,"1,200 Gold | Pile of Gold",8/21/22
CornBirdd,"1,200 Gold | Pile of Gold",8/21/22
Australiaa,Custom Gift Card,8/21/22
MinerL123,"2,500 Gold | Stack of Gold",8/21/22
Zereldo,"6,500 Gold | Large Stack of Gold",8/22/22
Zereldo,"14,000 Gold | Chest of Gold",8/22/22
Aayush1_YT,Crystal 30 Days Minigames,8/22/22
Hakim251,80 Gold | Bit of Gold,8/22/22
ThatWierdGuy,80 Gold | Bit of Gold,8/22/22
M_Hussain,"1,200 Gold | Pile of Gold",8/22/22
LiveMax,"14,000 Gold | Chest of Gold",8/22/22
xHasey,"4,250 Gold | Stack of Gold",8/22/22
Nofckz,Mythic Practice,8/22/22
3x18,"6,500 Gold | Large Stack of Gold",8/22/22
3x18,5x Reset Loot Crate Immortal,8/22/22
Kypton,"2,500 Gold | Stack of Gold",8/22/22
PheonixNight785,"6,500 Gold | Large Stack of Gold",8/22/22
edikaa,Crystal 90 Days Minigames,8/22/22
LiTaLiAnO,"9,500 Gold | Large Stack of Gold",8/22/22
Walq_q,"1,200 Gold | Pile of Gold",8/22/22
YungCitrus,"2,500 Gold | Stack of Gold",8/22/22
MrP1nky,"2,500 Gold | Stack of Gold",8/22/22
3x18,"6,500 Gold | Large Stack of Gold",8/22/22
3x18,"14,000 Gold | Chest of Gold",8/22/22
kidifi,"2,500 Gold | Stack of Gold",8/22/22
LiTaLiAnO,"9,500 Gold | Large Stack of Gold",8/22/22
GuitarKing98,1x Reset Loot Crate Immortal,8/22/22
Saquer,"4,250 Gold | Stack of Gold",8/22/22
YungCitrus,"2,500 Gold | Stack of Gold",8/22/22
MrP1nky,"2,500 Gold | Stack of Gold",8/22/22
3x18,"14,000 Gold | Chest of Gold",8/22/22
kidifi,"2,500 Gold | Stack of Gold",8/22/22
Saquer,80 Gold | Bit of Gold,8/22/22
BiscuitStormy,"1,200 Gold | Pile of Gold",8/22/22
BiscuitStormy,500 Gold | Handful of Gold,8/22/22
GuitarKing98,1x Reset Loot Crate Immortal,8/22/22
Saquer,"4,250 Gold | Stack of Gold",8/22/22
VakkenVuller,VIP Immortal,8/22/22
GospodSumTi,"1,200 Gold | Pile of Gold",8/22/22
Saquer,80 Gold | Bit of Gold,8/23/22
Zereldo,"14,000 Gold | Chest of Gold",8/23/22
BiscuitStormy,"1,200 Gold | Pile of Gold",8/23/22
BiscuitStormy,500 Gold | Handful of Gold,8/23/22
MostlyOp,"4,250 Gold | Stack of Gold",8/23/22
VakkenVuller,VIP Immortal,8/23/22
sharpshooter1009,1x Reset Loot Crate Immortal,8/23/22
GospodSumTi,"1,200 Gold | Pile of Gold",8/23/22
Zereldo,"14,000 Gold | Chest of Gold",8/23/22
69jacob,€10 Gift Card,8/23/22
benjo2,"1,200 Gold | Pile of Gold",8/23/22
